id	name	country	latitude	longitude	cs_number	RegMap	G1001
7168	Hodja-Obi-Garm	Tajikistan	NA	NA		TRUE	FALSE
7169	Hh-0	GER	54.4175	9.88682	CS76512	TRUE	TRUE
7171	Hl-2	GER	52.1444	9.37827		FALSE	FALSE
7172	Hl-3	GER	52.1444	9.37827		TRUE	FALSE
7173	Ita-0	Morocco	34.0787	-4.19891		FALSE	FALSE
7176	Is-1	GER	50.5	7.5		TRUE	FALSE
7177	Jm-0	Czech Republic	49	15	CS76520	FALSE	TRUE
7178	Jm-1	Czech Republic	49	15		TRUE	FALSE
7179	Jm-2	Czech Republic	49	15		FALSE	FALSE
7180	Jedb-1	UK	55.4667	-2.5667		FALSE	FALSE
7181	Je-0	GER	50.927	11.587	CS76518	TRUE	TRUE
7183	Kas-1	India	35	77	CS79018	FALSE	TRUE
7186	Kn-0	Lithuania	54.8969	23.8924	CS76969	TRUE	TRUE
7187	Kelsterbach-1	GER	50.0667	8.5333		FALSE	FALSE
7188	Kelsterbach-2	GER	50.0667	8.5333		TRUE	FALSE
7189	Kelsterbach-3	GER	50.0667	8.5333		FALSE	FALSE
7192	Kil-0	UK	55.6395	-5.66364	CS76526	TRUE	TRUE
7194	Kl-0	GER	50.95	6.9666		TRUE	FALSE
7195	Kl-1	GER	50.95	6.9666		TRUE	FALSE
7196	Kl-2	GER	50.95	6.9666		FALSE	FALSE
7197	Kl-3	GER	50.95	6.9666		FALSE	FALSE
