Locus	TAIR internal locus id	Gene Model(s)	GO term	GO ID	TAIR internal GO id	category	GO Slim(s)	Evidence code	Reference	Made by	date last modified
AT4G03210	2125436	AT4G03210.1	extracellular region	GO:0005576	294	comp	extracellular region	ISM	AnalysisReference:501780126		08/31/2018 00:00:00
AT4G03210	2125437	AT4G03210	xylem development	GO:0010089	14843	proc	anatomical structure development	IGI	Publication:501788211|PMID:32005783  	TAIR	10/30/2020 00:00:00
AT4G03210	2125437	AT4G03210	xyloglucan:xyloglucosyl transferase activity	GO:0016762	4652	func	transferase activity	ISS	Publication:501707710|PMID:12856951  	TAIR	09/18/2003 00:00:00
AT4G03210	2125437	AT4G03210	hydrolase activity, hydrolyzing O-glycosyl compounds	GO:0004553	2781	func	hydrolase activity	IEA	AnalysisReference:501756966		11/22/2022 00:00:00
AT4G03210	2125437	AT4G03210	xyloglucan metabolic process	GO:0010411	27025	proc	other cellular processes | other metabolic processes | carbohydrate metabolic process	IEA	AnalysisReference:501756966		11/22/2022 00:00:00
AT4G03210	2125437	AT4G03210	xyloglucan:xyloglucosyl transferase activity	GO:0016762	4652	func	transferase activity	IEA	AnalysisReference:501756967		11/22/2022 00:00:00
AT4G03210	2125437	AT4G03210	plant-type secondary cell wall biogenesis	GO:0009834	10267	proc	other cellular processes	IGI	Publication:501788211|PMID:32005783  	TAIR	10/30/2020 00:00:00
AT4G03210	2125437	AT4G03210	cell wall biogenesis	GO:0042546	13564	proc	other cellular processes	IEA	AnalysisReference:501756966		11/22/2022 00:00:00
AT4G03210	2125437	AT4G03210	polysaccharide binding	GO:0030247	8585	func	carbohydrate binding	ISS	Communication:501789215		02/08/2022 00:00:00
AT4G11240	2128258	AT4G11240	protein serine/threonine phosphatase activity	GO:0004722	3908	func	catalytic activity | hydrolase activity	ISS	Publication:2553|PMID:9617814   	TAIR	02/12/2008 00:00:00
AT4G11240	2128258	AT4G11240	protein serine/threonine phosphatase activity	GO:0004722	3908	func	hydrolase activity | catalytic activity	IDA	Publication:501741364|PMID:21222654  	TAIR	04/19/2011 00:00:00
AT4G11240	2128258	AT4G11240	RNA metabolic process	GO:0016070	4899	proc	nucleobase-containing compound metabolic process | other metabolic processes	IEA	Publication:501796011|PMID:34562334  		11/14/2022 00:00:00
AT4G11240	2128258	AT4G11240	nucleus	GO:0005634	537	comp	nucleus	IBA	Communication:501741973		11/23/2022 00:00:00
AT4G11240	2128257	AT4G11240.1	mitochondrion	GO:0005739	486	comp	mitochondrion	ISM	AnalysisReference:501780126		08/31/2018 00:00:00
